errors, JHK = False
N	100	500	1000	5000	20000	100000
k-Neighbors Regressor	0.3502	0.3535	0.3204	0.2345	0.2067	0.1646
SGD Regressor	0.3128	0.4303	0.3409	0.3765	0.3773	0.3662
Ridge Regressor	0.3917	0.3918	0.4115	0.356	0.3555	0.3775
Elastic Net CV	0.4866	0.3654	0.3619	0.3518	0.3497	0.3629
Random Forest Regressor	0.2839	0.3692	0.3249	0.2672	0.2071	0.1711
MLP Regressor	1.1116	0.799	0.3353	0.408	0.3738	0.2685
Gradient Boosting Regressor	0.6636	0.2686	0.3303	0.3176	0.2877	0.2752
Decision Tree Regressor	0.5781	0.6248	0.5035	0.4111	0.3585	0.2905
Linear SVR	0.4488	0.4543	0.4329	0.3823	0.3672	0.3865
Nu SVR	1.0695	0.3632	0.2561	0.2456	0.2124	0.3156
